pid,hull,task,success,time
1,956960,conf,0.608695652,26
2,1210906,bio,0.391304348,25
3,1104548,conf,0.47826087,10
4,855221,bio,0.52173913,9
5,970325,conf,0.52173913,22
6,963961,bio,0.739130435,43
7,917215,conf,0.565217391,16
10,1086817,bio,0.47826087,29
12,822244,bio,0.695652174,11
13,1267308,conf,0.434782609,35
14,1274735,bio,0.217391304,28
15,850108,conf,0.52173913,9
16,994429,bio,0.47826087,29
17,940103,conf,0.434782609,14
18,1059399,bio,0.565217391,27
19,1097795,conf,0.565217391,14
20,602170,bio,0.434782609,23
21,1250976,conf,0.434782609,16
23,658382,conf,0.565217391,13
24,917734,bio,0.739130435,25
25,1043845,conf,0.565217391,34
27,1000469,conf,0.260869565,13
28,1088292,bio,0.52173913,13
30,1194570,bio,0.47826087,32
31,572303,conf,0.391304348,14
32,958592,bio,0.347826087,12
33,1116069,conf,0.47826087,22
34,1003578,bio,0.565217391,49
35,711207,conf,0.608695652,9
36,809589,bio,0.52173913,15
