pID,graph hull area,Ontology,success,time (min.)
1,921036,bio,0.52173913,38
2,815076,conf,0.347826087,19
3,1186443,bio,0.391304348,50
4,994184,conf,0.391304348,12
5,947374,bio,0.434782609,27
6,1032424,conf,0.869565217,26
7,1508083,bio,0.086956522,20
8,,,,
9,,,,
10,973706,conf,0.608695652,17
11,1058111,bio,0.347826087,33
12,1772132,conf,0.304347826,17
13,1121176,bio,0.391304348,27
14,938485,conf,0.52173913,15
15,839936,bio,0.565217391,13
16,1082972,conf,0.52173913,28
17,972932,bio,0.608695652,22
18,1090635,conf,0.739130435,21
19,1141067,bio,0.434782609,72
20,1103536,conf,0.391304348,30
21,896036,bio,0.565217391,6
22,,,,
23,1132215,bio,0.391304348,58
24,1114712,conf,0.565217391,32
25,1082575,bio,0.347826087,39
26,,,,
27,1107568,bio,0.086956522,50
28,1311683,conf,0.52173913,10
29,,,,
30,1420645,conf,0.391304348,23
31,1751212,bio,0.52173913,44
32,1210312,conf,0.304347826,21
33,1080310,bio,0.347826087,27
34,968778,conf,0.608695652,38
35,1142627,bio,0.47826087,37
36,1086771,conf,0.434782609,21
